Hora,No,Vibracion,Lugar
14:26:10,1,6.861,domo
14:26:11,2,7.931,domo
14:26:11,3,6.895,domo
14:26:11,4,7.881,domo
14:26:11,5,7.797,domo
14:26:11,6,5.805,domo
14:26:11,7,8.344,domo
14:26:11,8,7.485,domo
14:26:11,9,8.018,domo
14:26:11,10,7.85,domo
14:26:11,11,6.95,domo
14:26:11,12,18.05,domo
14:26:11,13,6.688,domo
14:26:11,14,7.475,domo
14:26:11,15,12.04,domo
14:26:12,16,11.12,domo
14:26:12,17,10.34,domo
14:26:12,18,11.61,domo
14:26:12,19,8.15,domo
14:26:12,20,5.873,domo
14:26:12,21,7.477,domo
14:26:12,22,4.446,domo
14:26:12,23,8.039,domo
14:26:12,24,7.672,domo
14:26:12,25,5.887,domo
14:26:12,26,7.022,domo
14:26:12,27,8.182,domo
14:26:13,28,17.37,domo
14:26:13,29,8.036,domo
14:26:13,30,11.06,domo
14:26:13,31,11.88,domo
14:26:13,32,9.791,domo
14:26:13,33,16.46,domo
14:26:13,34,13.62,domo
14:26:13,35,6.252,domo
14:26:13,36,7.107,domo
14:26:13,37,7.49,domo
14:26:13,38,6.898,domo
14:26:13,39,8.889,domo
14:26:13,40,3.114,domo
14:26:14,41,11.69,domo
14:26:14,42,6.856,domo
14:26:14,43,9.237,domo
14:26:14,44,5.807,domo
14:26:14,45,5.685,domo
14:26:14,46,7.083,domo
14:26:14,47,6.015,domo
14:26:14,48,13.06,domo
14:26:14,49,14.66,domo
14:26:14,50,2.086,domo
14:26:14,51,5.734,domo
14:26:14,52,5.103,domo
14:26:14,53,7.709,domo
14:26:15,54,4.637,domo
14:26:15,55,6.396,domo
14:26:15,56,1.042,domo
14:26:15,57,6.537,domo
14:26:15,58,11.53,domo
14:26:15,59,12.02,domo
14:26:15,60,14.77,domo
14:26:15,61,5.086,domo
14:26:15,62,7.327,domo
14:26:15,63,3.332,domo
14:26:15,64,8.994,domo
14:26:15,65,8.1,domo
14:26:15,66,8.472,domo
14:26:15,67,10.8,domo
14:26:16,68,9.025,domo
14:26:16,69,8.314,domo
14:26:16,70,7.826,domo
